skill_name,category
Python,Langages de programmation
R,Langages de programmation
Scala,Langages de programmation
Java,Langages de programmation
Bash,Langages de programmation
Shell,Langages de programmation
JavaScript,Langages de programmation
TypeScript,Langages de programmation
Go,Langages de programmation
Julia,Langages de programmation
MATLAB,Langages de programmation
SAS,Langages de programmation
Kotlin,Langages de programmation
Groovy,Langages de programmation
C++,Langages de programmation
C#,Langages de programmation
Rust,Langages de programmation
VBA,Langages de programmation
SQL,Bases de données & SQL
PostgreSQL,Bases de données & SQL
MySQL,Bases de données & SQL
SQL Server,Bases de données & SQL
SQLite,Bases de données & SQL
Oracle Database,Bases de données & SQL
BigQuery,Bases de données & SQL
Snowflake,Bases de données & SQL
Redshift,Bases de données & SQL
Teradata,Bases de données & SQL
Hive,Bases de données & SQL
Impala,Bases de données & SQL
Presto,Bases de données & SQL
Trino,Bases de données & SQL
DuckDB,Bases de données & SQL
MongoDB,Bases de données & SQL
Cassandra,Bases de données & SQL
Redis,Bases de données & SQL
Elasticsearch,Bases de données & SQL
Neo4j,Bases de données & SQL
MariaDB,Bases de données & SQL
Greenplum,Bases de données & SQL
Vertica,Bases de données & SQL
ClickHouse,Bases de données & SQL
Azure Synapse,Bases de données & SQL
Databricks SQL,Bases de données & SQL
CockroachDB,Bases de données & SQL
Netezza,Bases de données & SQL
HBase,Bases de données & SQL
T-SQL,Bases de données & SQL
PL/SQL,Bases de données & SQL
Azure Data Explorer,Bases de données & SQL
KQL,Bases de données & SQL
NoSQL,Bases de données & SQL
DWH,Bases de données & SQL
Data Warehouse,Bases de données & SQL
DB2,Bases de données & SQL
Apache Druid,Bases de données & SQL
OpenSearch,Bases de données & SQL
Apache Airflow,Data Engineering & Orchestration
Apache Spark,Data Engineering & Orchestration
Apache Kafka,Data Engineering & Orchestration
dbt,Data Engineering & Orchestration
dbt Core,Data Engineering & Orchestration
dbt Cloud,Data Engineering & Orchestration
Apache Flink,Data Engineering & Orchestration
Luigi,Data Engineering & Orchestration
Dagster,Data Engineering & Orchestration
Prefect,Data Engineering & Orchestration
Apache NiFi,Data Engineering & Orchestration
Talend,Data Engineering & Orchestration
Talend Open Studio,Data Engineering & Orchestration
Informatica,Data Engineering & Orchestration
SSIS,Data Engineering & Orchestration
Pentaho,Data Engineering & Orchestration
Apache Beam,Data Engineering & Orchestration
